video_id,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent,publishTime
T9-EVnUdzvo,2020-10-26T08:23:26Z,UCcN8wGTpYB9QmF8xOvRACUg,GOJEK GACOR || SISTEM PEMBAGIAN ORDER DARI GOJEK TERBARU INFO LANGSUNG GOJEK,,https://i.ytimg.com/vi/T9-EVnUdzvo/default.jpg,120,90,https://i.ytimg.com/vi/T9-EVnUdzvo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/T9-EVnUdzvo/hqdefault.jpg,480,360,bang ipin gojek,none,2020-10-26T08:23:26Z
6LwMaDhmTy8,2020-07-20T03:44:47Z,UCuSRk23O6eM0l69oXkUAlzQ,🔴 CARA SETTING PING TOOLS -Gojek &amp; grab,Ini CARA SETTING PING TOOLS -Gojek & grab supaya internet lancar & tidak lag Semoga bermanfaat CARA SETTING PING TOOLS -Gojek & grab Cara ...,https://i.ytimg.com/vi/6LwMaDhmTy8/default.jpg,120,90,https://i.ytimg.com/vi/6LwMaDhmTy8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6LwMaDhmTy8/hqdefault.jpg,480,360,Keren tv,none,2020-07-20T03:44:47Z
idEbR2qJl7E,2017-07-15T05:51:46Z,UC2L7n_7hRLWIbgfwXqd8nPQ,PRANK GOJEK BAWA MAYAT ! | PRANK INDONESIA 11,kali ini kita nge prank gojeknya loo. tapi sebenarnya bukan gojeknya !!! hahaha langsung aja di tonton video prank kali ini sampai habis ya teman teman ! feat ...,https://i.ytimg.com/vi/idEbR2qJl7E/default.jpg,120,90,https://i.ytimg.com/vi/idEbR2qJl7E/mqdefault.jpg,320,180,https://i.ytimg.com/vi/idEbR2qJl7E/hqdefault.jpg,480,360,vito sinaga,none,2017-07-15T05:51:46Z
TWV3rA0H8DE,2020-09-30T08:54:25Z,UCw4-ZjBLZxy1rFqvg9vQBLg,GOJEK GACOR TERHEMPAS KE BUMI||KARMA GOPARTNER,"GOJEK GACOR TERHEMPAS KE BUMI||KARMA GOPARTNER,Gojek gacor,gojekgagu,gopartner gacor,gopartner gagu,solusi akun gagu,akun gojek anti gagu ...",https://i.ytimg.com/vi/TWV3rA0H8DE/default.jpg,120,90,https://i.ytimg.com/vi/TWV3rA0H8DE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/TWV3rA0H8DE/hqdefault.jpg,480,360,ZT CROWN,none,2020-09-30T08:54:25Z
JUuMw1K6voo,2020-11-04T17:38:19Z,UCYkDhD56Jip6fm1QyN7M7SA,UPDATE KODE PROMO GOJEK TERBARU | CLAIM CODE PROMO GO-JEK TERBARU NOVEMBER 2020,Oke di Video kali ini saya ingin Berbagi Kode promo terbaru untuk Aplikasi Gojek Berdasarkan Lokasi. Silahkan Kalian Tonton video ini sampai habis jangan di ...,https://i.ytimg.com/vi/JUuMw1K6voo/default.jpg,120,90,https://i.ytimg.com/vi/JUuMw1K6voo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/JUuMw1K6voo/hqdefault.jpg,480,360,IR CODE,none,2020-11-04T17:38:19Z
P_MtTAUL-cE,2019-03-08T03:21:47Z,UC2ilLcjgCNh60FevRx4FRtg,ISTRI GOJEK DIBUNUH KUNTILANAK - GTA 5 GOJEK PARODY,"JIKA SUKA KLIK JEMPOL ATAS, KALAU TIDAK BALIK HPMU KLIK JEMPOL BAWAH. ▻ Selamat datang di Channel paling Kamvret sepanjang sejarah jangan ...",https://i.ytimg.com/vi/P_MtTAUL-cE/default.jpg,120,90,https://i.ytimg.com/vi/P_MtTAUL-cE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/P_MtTAUL-cE/hqdefault.jpg,480,360,Pratama Eriz,none,2019-03-08T03:21:47Z
xX5a7zr1xnw,2019-10-24T04:00:05Z,UCjpTPuLaPfsZ2UyXyUzBg4A,TERNGAKAK!! REAKSI ABANG GOJEK &amp; GRAB COBAIN MAKANAN JEPANG UNTUK PERTAMA KALINYA!!,"Biasanya temen-temen driver GOJEK (GoFood) dan GRAB (GrabFood) kan pada sibuk order dan nganterin pesenan makanan kita kan, naahh… kali ini aku ...",https://i.ytimg.com/vi/xX5a7zr1xnw/default.jpg,120,90,https://i.ytimg.com/vi/xX5a7zr1xnw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/xX5a7zr1xnw/hqdefault.jpg,480,360,Jennie Linando,none,2019-10-24T04:00:05Z
MN3vLyrEehc,2020-02-12T05:31:48Z,UC2ilLcjgCNh60FevRx4FRtg,GOJEK CANTIK PACARAN SAMA SULTAN - GTA 5 OJEK CANTIK,"Gojek Cantik menjenguk sultan yang sakit dan mengajak pergi kedukun untuk mengobati sakitnya. tapi ternyata itu bohong, gojek cantik berniat menyantet ...",https://i.ytimg.com/vi/MN3vLyrEehc/default.jpg,120,90,https://i.ytimg.com/vi/MN3vLyrEehc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/MN3vLyrEehc/hqdefault.jpg,480,360,Pratama Eriz,none,2020-02-12T05:31:48Z
aNoAx1PJ2PM,2020-04-11T13:06:26Z,UCgqAMw2V_Ddy4SfmovUTh8Q,SAYA BERIKAN MOTOR BARU UNTUK GOJEK! BAPAK INI MENANGIS TERSUJUD,TIKTOK HASANJR11: https://vt.tiktok.com/6BAm74/ ORDER MY MERCHANDISE: https://www.instagram.com/hjr.store FOLLOW MY INSTAGRAM: ...,https://i.ytimg.com/vi/aNoAx1PJ2PM/default.jpg,120,90,https://i.ytimg.com/vi/aNoAx1PJ2PM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/aNoAx1PJ2PM/hqdefault.jpg,480,360,hasanjr11,none,2020-04-11T13:06:26Z
-Z8G8cBlQwE,2020-10-28T13:04:48Z,UCG1N93gug3i7JbjE_yj2bFA,gojek gacor || tips gopartner jadi akun go ride prioritas || gopartner gacor,"gojek gacor || tips gopartner jadi akun go ride prioritas || gopartner gacor balik lagi bersama chanel glen lemon gojek,gojek gacor,gojekan cepcil,gojek autobid ...",https://i.ytimg.com/vi/-Z8G8cBlQwE/default.jpg,120,90,https://i.ytimg.com/vi/-Z8G8cBlQwE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-Z8G8cBlQwE/hqdefault.jpg,480,360,GLEN LEMON,none,2020-10-28T13:04:48Z
